date1,datetime,cash_type,card,money,coffee_name
March,March  1:48:15 PM,card,ANON-0000-0000-0048,28.9,Cortado
March,March  3:39:48 PM,cash,,40,Latte
March,March  4:19:03 PM,card,ANON-0000-0000-0033,28.9,Americano
March,March  6:39:04 PM,card,ANON-0000-0000-0033,28.9,Cortado
March,March  7:22:02 PM,card,ANON-0000-0000-0049,38.7,Hot Chocolate
March,March  7:23:16 PM,card,ANON-0000-0000-0004,33.8,Americano with Milk
March,March  7:29:17 PM,card,ANON-0000-0000-0004,28.9,Americano
March,March  7:45:17 PM,card,ANON-0000-0000-0050,28.9,Americano
March,March  7:45:17 PM,card,ANON-0000-0000-0048,38.7,Hot Chocolate
March,March  7:45:17 PM,card,ANON-0000-0000-0004,28.9,Americano
March,March  7:45:17 PM,card,ANON-0000-0000-0051,28.9,Americano
March,March  7:29:17 PM,card,ANON-0000-0000-0051,28.9,Americano
March,March  7:29:17 PM,cash,,25,Espresso
March,March  8:34:17 PM,card,ANON-0000-0000-0052,33.8,Americano with Milk
March,March  8:34:17 PM,card,ANON-0000-0000-0053,24,Espresso
March,March  8:34:17 PM,card,ANON-0000-0000-0053,24,Espresso
March,March  8:34:17 PM,card,ANON-0000-0000-0054,24,Espresso
March,March  7:29:17 PM,cash,,40,Latte
March,March  7:29:17 PM,card,ANON-0000-0000-0055,38.7,Latte
March,March  3:39:48 PM,card,ANON-0000-0000-0055,38.7,Hot Chocolate
March,March  4:19:03 PM,card,ANON-0000-0000-0012,28.9,Cortado
March,March  6:39:04 PM,card,ANON-0000-0000-0012,28.9,Americano
March,March  7:22:02 PM,card,ANON-0000-0000-0056,33.8,Americano with Milk
March,March  7:23:16 PM,card,ANON-0000-0000-0057,24,Espresso
March,March  7:29:17 PM,card,ANON-0000-0000-0058,38.7,Latte
March,March  7:45:17 PM,card,ANON-0000-0000-0059,33.8,Americano with Milk
March,March  7:45:17 PM,card,ANON-0000-0000-0050,24,Espresso
March,March  7:45:17 PM,card,ANON-0000-0000-0019,38.7,Hot Chocolate
March,March  7:45:17 PM,card,ANON-0000-0000-0012,28.9,Cortado
March,March  7:29:17 PM,cash,,40,Latte
March,March  7:29:17 PM,card,ANON-0000-0000-0060,38.7,Hot Chocolate
March,March  8:34:17 PM,card,ANON-0000-0000-0012,28.9,Americano
March,March  8:34:17 PM,card,ANON-0000-0000-0061,33.8,Americano with Milk
March,March  8:34:17 PM,card,ANON-0000-0000-0061,28.9,Americano
March,March  8:34:17 PM,card,ANON-0000-0000-0009,28.9,Cortado
March,March  7:29:17 PM,card,ANON-0000-0000-0009,28.9,Cortado
March,March  7:29:17 PM,card,ANON-0000-0000-0012,28.9,Cortado
March,March  3:39:48 PM,card,ANON-0000-0000-0062,33.8,Americano with Milk
March,March  4:19:03 PM,cash,,40,Latte
March,March  6:39:04 PM,card,ANON-0000-0000-0063,28.9,Cortado
March,March  7:22:02 PM,card,ANON-0000-0000-0064,28.9,Cortado
March,March  7:23:16 PM,card,ANON-0000-0000-0003,28.9,Americano
March,March  7:29:17 PM,card,ANON-0000-0000-0003,28.9,Americano
March,March  7:45:17 PM,card,ANON-0000-0000-0003,28.9,Americano
March,March  7:45:17 PM,cash,,30,Cortado
March,March  7:45:17 PM,card,ANON-0000-0000-0065,38.7,Latte
March,March  7:45:17 PM,card,ANON-0000-0000-0065,38.7,Latte
March,March  7:29:17 PM,card,ANON-0000-0000-0049,38.7,Hot Chocolate
March,March  7:29:17 PM,card,ANON-0000-0000-0066,33.8,Americano with Milk
March,March  8:34:17 PM,cash,,40,Hot Chocolate
March,March  8:34:17 PM,card,ANON-0000-0000-0012,28.9,Cortado
March,March  8:34:17 PM,cash,,40,Latte
March,March  8:34:17 PM,card,ANON-0000-0000-0049,28.9,Cortado
March,March  7:29:17 PM,card,ANON-0000-0000-0067,38.7,Cappuccino
March,March  7:29:17 PM,card,ANON-0000-0000-0050,38.7,Cocoa
March,March  3:39:48 PM,card,ANON-0000-0000-0068,38.7,Latte
March,March  4:19:03 PM,cash,,40,Cappuccino
March,March  6:39:04 PM,card,ANON-0000-0000-0012,28.9,Cortado
March,March  7:22:02 PM,card,ANON-0000-0000-0012,38.7,Cappuccino
March,March  7:23:16 PM,cash,,30,Americano
March,March  7:29:17 PM,card,ANON-0000-0000-0012,28.9,Cortado
March,March  7:45:17 PM,card,ANON-0000-0000-0069,38.7,Latte
March,March  7:45:17 PM,card,ANON-0000-0000-0070,33.8,Americano with Milk
March,March  7:45:17 PM,card,ANON-0000-0000-0071,33.8,Americano with Milk
March,March  7:45:17 PM,cash,,40,Cappuccino
March,March  7:29:17 PM,card,ANON-0000-0000-0012,28.9,Americano
March,March  7:29:17 PM,card,ANON-0000-0000-0012,24,Espresso
March,March  8:34:17 PM,card,ANON-0000-0000-0050,28.9,Americano
March,March  8:34:17 PM,card,ANON-0000-0000-0072,38.7,Latte
March,March  8:34:17 PM,card,ANON-0000-0000-0073,33.8,Americano with Milk
March,March  8:34:17 PM,card,ANON-0000-0000-0074,38.7,Cappuccino
March,March  7:29:17 PM,card,ANON-0000-0000-0074,38.7,Cocoa
March,March  7:29:17 PM,card,ANON-0000-0000-0075,33.8,Americano with Milk
March,March  3:39:48 PM,card,ANON-0000-0000-0076,38.7,Latte
March,March  4:19:03 PM,card,ANON-0000-0000-0076,33.8,Americano with Milk
March,March  6:39:04 PM,card,ANON-0000-0000-0009,28.9,Cortado
March,March  7:22:02 PM,cash,,40,Latte
March,March  7:23:16 PM,card,ANON-0000-0000-0077,38.7,Latte
March,March  7:29:17 PM,card,ANON-0000-0000-0009,38.7,Latte
March,March  7:45:17 PM,cash,,35,Americano with Milk
March,March  7:45:17 PM,card,ANON-0000-0000-0078,38.7,Latte
March,March  7:45:17 PM,card,ANON-0000-0000-0017,38.7,Latte
March,March  7:45:17 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
March,March  7:29:17 PM,card,ANON-0000-0000-0079,38.7,Cappuccino
March,March  7:29:17 PM,card,ANON-0000-0000-0055,38.7,Cocoa
March,March  8:34:17 PM,card,ANON-0000-0000-0055,38.7,Latte
March,March  8:34:17 PM,card,ANON-0000-0000-0080,38.7,Latte
March,March  8:34:17 PM,card,ANON-0000-0000-0009,28.9,Cortado
March,March  8:34:17 PM,card,ANON-0000-0000-0003,28.9,Americano
March,March  7:29:17 PM,card,ANON-0000-0000-0032,28.9,Cortado
March,March  7:29:17 PM,card,ANON-0000-0000-0059,28.9,Cortado
March,March  7:22:02 PM,card,ANON-0000-0000-0050,28.9,Americano
March,March  7:23:16 PM,card,ANON-0000-0000-0081,38.7,Latte
